IATA,Ciudad
TLC,Toluca
MTY,Monterrey
MEX,Ciudad de México
TAM,Tampico
GDL,Guadalajara
CJS,Ciudad Juárez
CUN,Cancún
TIJ,Tijuana
HMO,Hermosillo
CME,Ciudad del Carmen
MID,Mérida
CTM,Chetumal
VER,Veracruz
OAX,Oaxaca
HUX,Huatulco
PVR,Puerto Vallarta
PXM,Puerto Escondido
ACA,Acapulco
ZIH,Ixtapa-Zihuatanejo
AGU,Aguascalientes
VSA,Villahermosa
CZM,Cozumel
CUU,Chihuahua
TRC,Torreón
QRO,Querétaro
BJX,Guanajuato
PBC,Puebla
SLP,San Luis Potosí
ZCL,Zacatecas
LIM,Lima
HAV,La Habana
BOG,Bogotá
MIA,Miami
LAX,Los Ángeles
JFK,Nueva York
MZT,Mazatlán
GUA,Ciudad de Guatemala
BZE,Belice
DFW,Dallas/Fort Worth
ORD,Chicago
PHX,Phoenix
PHL,Filadelfia
CLT,Charlotte
YYZ,Toronto
IAH,Houston
YVR,Vancouver
CDG,París
AMS,Ámsterdam
ATL,Atlanta
CEN,Ciudad Obregón
MAD,Madrid
SCL,Santiago de Chile
