IATA,Ciudad
TLC,Toluca
MTY,Monterrey
MEX,Ciudad de México
TAM,Tampico
GDL,Guadalajara
CJS,Ciudad Juárez
CUN,Cancún
TIJ,Tijuana
HMO,Hermosillo
CME,Ciudad del Carmen
MID,Mérida
CTM,Chetumal
VER,Veracruz
OAX,Oaxaca
HUX,Huatulco
PVR,Puerto Vallarta
PXM,Puerto Escondido
ACA,Acapulco
ZIH,Ixtapa-Zihuatanejo
AGU,Aguascalientes
VSA,Villahermosa
CZM,Cozumel
CUU,Chihuahua
TRC,Torreón
QRO,Querétaro
BJX,Guanajuato
PBC,Puebla
SLP,San Luis Potosí
ZCL,Zacatecas
LIM,Lima
HAV,La Habana
BOG,Bogotá
MIA,Miami
LAX,Los Ángeles
JFK,Nueva York
MZT,Mazatlán
GUA,Ciudad de Guatemala
BZE,Belice
DFW,Dallas/Fort Worth
ORD,Chicago
PHX,Phoenix
PHL,Filadelfia
CLT,Charlotte
YYZ,Toronto
IAH,Houston
YVR,Vancouver
CDG,París
AMS,Ámsterdam
ATL,Atlanta
CEN,Ciudad Obregón
MAD,Madrid
SCL,Santiago de Chile
AUS,Austin
EZE,Buenos Aires
BOS,Boston
CPE,Campeche
CUL,Culiacán
DEN,Denver
DTW,Detroit
DXB,Dubái
DGO,Durango
IST,Estambul
FRA,Frankfurt
LAP,La Paz
LAS,Las Vegas
BJX,León/Bajío
LMM,Los Mochis
MGA,Managua
ZLO,Manzanillo
MAM,Matamoros
MDE,Medellín
MXL,Mexicali
MTT,Minatitlán
MSP,Minneapolis
YUL,Montreal
EWR,Newark
NLD,Nuevo Laredo
OAK,Oakland
MCO,Orlando
PTY,Panamá
RDU,Raleigh
REX,Reynosa
FCO,Roma
SAT,San Antonio
SFO,San Francisco
SAL,San Salvador
SLC,Salt Lake City
SJO,San José
GRU,São Paulo
SEA,Seattle
ICN,Seúl
SZX,Shenzhen
SJD,San José del Cabo
SDQ,Santo Domingo
TPA,Tampa
TAP,Tapachula
TPQ,Tepic
NRT,Tokio
TGZ,Tuxtla Gutiérrez
DCA,Washington D.C.
BCN,Barcelona
